model,dataset_size,train_size,train_mse,test_mse
forest,100,8,"-0.000000,-0.000000,-0.125000,-0.000000,-0.000000,-0.000000,-0.125000,-0.000000,-0.000000,-0.000000","-0.363636,-0.363636,-0.100000,-0.500000,-0.300000,-0.400000,-0.400000,-0.200000,-0.444444,-0.222222"
forest,100,28,"-0.071429,-0.071429,-0.000000,-0.071429,-0.000000,-0.000000,-0.035714,-0.035714,-0.000000,-0.000000","-0.272727,-0.272727,-0.200000,-0.300000,-0.200000,-0.300000,-0.400000,-0.500000,-0.111111,-0.222222"
forest,100,48,"-0.062500,-0.062500,-0.041667,-0.062500,-0.062500,-0.062500,-0.062500,-0.062500,-0.041667,-0.041667","-0.090909,-0.090909,-0.200000,-0.200000,-0.100000,-0.200000,-0.300000,-0.300000,-0.000000,-0.222222"
forest,100,68,"-0.044118,-0.044118,-0.029412,-0.073529,-0.058824,-0.088235,-0.044118,-0.058824,-0.058824,-0.029412","-0.090909,-0.181818,-0.200000,-0.200000,-0.100000,-0.100000,-0.300000,-0.200000,-0.111111,-0.222222"
forest,100,89,"-0.067416,-0.056180,-0.067416,-0.067416,-0.056180,-0.044944,-0.067416,-0.056180,-0.056180,-0.044944","-0.090909,-0.272727,-0.100000,-0.000000,-0.200000,-0.100000,-0.100000,-0.100000,-0.111111,-0.333333"
