model,dataset_size,train_size,train_mse,test_mse
svm,1000,89,"-0.179775,-0.089888,-0.078652,-0.202247,-0.179775,-0.157303,-0.157303,-0.191011,-0.146067,-0.146067","-0.188119,-0.230000,-0.170000,-0.240000,-0.110000,-0.230000,-0.190000,-0.220000,-0.210000,-0.151515"
svm,1000,292,"-0.174658,-0.157534,-0.126712,-0.191781,-0.171233,-0.157534,-0.174658,-0.147260,-0.188356,-0.208904","-0.188119,-0.180000,-0.150000,-0.240000,-0.180000,-0.160000,-0.200000,-0.240000,-0.140000,-0.131313"
svm,1000,494,"-0.188259,-0.161943,-0.157895,-0.178138,-0.161943,-0.151822,-0.196356,-0.176113,-0.192308,-0.194332","-0.198020,-0.180000,-0.150000,-0.270000,-0.170000,-0.210000,-0.200000,-0.170000,-0.140000,-0.131313"
svm,1000,696,"-0.195402,-0.173851,-0.178161,-0.170977,-0.160920,-0.145115,-0.183908,-0.192529,-0.181034,-0.189655","-0.198020,-0.180000,-0.200000,-0.270000,-0.110000,-0.190000,-0.180000,-0.230000,-0.140000,-0.141414"
svm,1000,899,"-0.182425,-0.180200,-0.186874,-0.173526,-0.184650,-0.170189,-0.184650,-0.176863,-0.191324,-0.185762","-0.198020,-0.180000,-0.160000,-0.270000,-0.140000,-0.290000,-0.180000,-0.250000,-0.140000,-0.131313"
