model,dataset_size,train_size,train_mse,test_mse
forest,2500,224,"-0.044643,-0.053571,-0.084821,-0.093750,-0.058036,-0.058036,-0.058036,-0.062500,-0.066964,-0.058036","-0.199203,-0.223108,-0.167331,-0.168000,-0.152000,-0.160000,-0.164000,-0.112450,-0.172691,-0.124498"
forest,2500,730,"-0.071233,-0.084932,-0.064384,-0.083562,-0.075342,-0.071233,-0.067123,-0.056164,-0.064384,-0.072603","-0.147410,-0.167331,-0.135458,-0.128000,-0.144000,-0.132000,-0.128000,-0.104418,-0.124498,-0.168675"
forest,2500,1236,"-0.076052,-0.080906,-0.071197,-0.088997,-0.073625,-0.076861,-0.067152,-0.072006,-0.080906,-0.079288","-0.159363,-0.163347,-0.151394,-0.156000,-0.124000,-0.132000,-0.116000,-0.112450,-0.128514,-0.112450"
forest,2500,1742,"-0.078645,-0.076349,-0.072905,-0.078071,-0.086108,-0.071183,-0.078071,-0.075201,-0.076923,-0.077497","-0.135458,-0.155378,-0.131474,-0.136000,-0.116000,-0.124000,-0.108000,-0.088353,-0.136546,-0.124498"
forest,2500,2249,"-0.077812,-0.076034,-0.079591,-0.080480,-0.080925,-0.078702,-0.080480,-0.084037,-0.080036,-0.083148","-0.159363,-0.147410,-0.131474,-0.124000,-0.116000,-0.132000,-0.108000,-0.108434,-0.112450,-0.128514"
