model,dataset_size,train_size,train_mse,test_mse
forest,500,44,"-0.045455,-0.068182,-0.068182,-0.000000,-0.022727,-0.113636,-0.022727,-0.045455,-0.022727,-0.022727","-0.215686,-0.196078,-0.294118,-0.360000,-0.300000,-0.240000,-0.420000,-0.285714,-0.183673,-0.326531"
forest,500,145,"-0.055172,-0.075862,-0.075862,-0.055172,-0.034483,-0.068966,-0.082759,-0.048276,-0.041379,-0.055172","-0.176471,-0.156863,-0.235294,-0.260000,-0.300000,-0.220000,-0.260000,-0.265306,-0.163265,-0.265306"
forest,500,246,"-0.060976,-0.089431,-0.073171,-0.052846,-0.044715,-0.060976,-0.073171,-0.040650,-0.073171,-0.052846","-0.098039,-0.156863,-0.235294,-0.260000,-0.220000,-0.160000,-0.220000,-0.224490,-0.122449,-0.224490"
forest,500,347,"-0.063401,-0.077810,-0.060519,-0.060519,-0.069164,-0.063401,-0.080692,-0.066282,-0.074928,-0.060519","-0.098039,-0.078431,-0.137255,-0.240000,-0.220000,-0.120000,-0.240000,-0.204082,-0.081633,-0.183673"
forest,500,449,"-0.066815,-0.069042,-0.069042,-0.069042,-0.069042,-0.069042,-0.069042,-0.062361,-0.075724,-0.057906","-0.117647,-0.058824,-0.176471,-0.220000,-0.180000,-0.140000,-0.180000,-0.224490,-0.061224,-0.224490"
