model,dataset_size,train_size,train_mse,test_mse
log,5000,449,"-0.115813,-0.115813,-0.124722,-0.126949,-0.124722,-0.135857,-0.167038,-0.097996,-0.129176,-0.104677","-0.185629,-0.133733,-0.165669,-0.139721,-0.159681,-0.150301,-0.178357,-0.164329,-0.162325,-0.162325"
log,5000,1462,"-0.144323,-0.141587,-0.142955,-0.143639,-0.144323,-0.158003,-0.135431,-0.151163,-0.144323,-0.145007","-0.175649,-0.155689,-0.143713,-0.149701,-0.153693,-0.146293,-0.164329,-0.164329,-0.158317,-0.146293"
log,5000,2474,"-0.158448,-0.158852,-0.141471,-0.145109,-0.151576,-0.147130,-0.140259,-0.135004,-0.154810,-0.140663","-0.165669,-0.157685,-0.147705,-0.145709,-0.143713,-0.130261,-0.146293,-0.144289,-0.160321,-0.144289"
log,5000,3486,"-0.148881,-0.153758,-0.148308,-0.146013,-0.144005,-0.147734,-0.147160,-0.147447,-0.155766,-0.146013","-0.157685,-0.153693,-0.149701,-0.139721,-0.151697,-0.128257,-0.158317,-0.156313,-0.162325,-0.154309"
log,5000,4499,"-0.147588,-0.153812,-0.152701,-0.152701,-0.153145,-0.149367,-0.152034,-0.152701,-0.146032,-0.146699","-0.157685,-0.149701,-0.151697,-0.147705,-0.151697,-0.128257,-0.156313,-0.162325,-0.162325,-0.148297"
